,,,,,
,,,,,
,,,,,
Ref,Departments,SL,Sub Department,Designation,Remarks
S,Finance & Accounts,95,Accounts Payable,Officer,
,,96,Accounts Receivables,Executive,
,,97,General Ledger,Senior Executive,
,,98,BRS,Assistant Manager,
,,99,Costing ,Dy.Manager,
,,100,Pricing,Manager,
,,101,Finance Analysst,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
T,HR ,102,Recruitement,Officer,
,,103,Payroll,Executive,
,,104,HR Operations,Senior Executive,
,,105,International HR,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
U,Information Technology (IT),,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,106,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
V,Packagiing Development,107,OSD,Research Associate,
,,108,Injectables,Senior Research Associate,
,,109,Opthalmics,Research Scientist,
,,,,Group Leader,
,,,,Principal Scientist,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Ddirector,
,,,,Otherss,
,,,,,
,,,,,
W,Learning & Development,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,110,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
X,Project Managemetn (PMT),,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,111,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
Y,Legal,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,112,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
Z,IPR & IPM,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,113,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
,Investor Relations,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,114,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
,Bio Pharmaceutical Specialist,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,115,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
,Toxicologist,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,116,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
,Treasury Managemetn,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,117,,Manager,
,,,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
,CSV IT QA,,,Officer,
,,,,Executive,
,,,,Senior Executive,
,,,,Assistant Manager,
,,,,Dy.Manager,
,,,,Manager,
,,118,,Senior Manager,
,,,,AGM / DGM,
,,,,General Manager,
,,,,VP / Sr VP,
,,,,Director,
,,,,Others,
